payment_id,order_id,payment_method,amount,payment_status,payment_date
1,1,PayPal,445.63,Pending,2025-03-25
2,2,PayPal,2082.54,Completed,2024-10-22
3,3,card,296.8,Completed,2022-10-22
4,4,PayPal,1921.9,Failed,2025-05-06
5,5,gift card,972.72,Pending,2023-02-04
6,6,card,351.81,Completed,2024-12-03
7,7,PayPal,2160.65,Completed,2024-07-14
8,8,card,257.48,Completed,2024-02-23
9,9,card,438.36,Completed,2023-03-09
10,10,card,1266.44,Completed,2025-01-21
11,11,PayPal,45.27,Pending,2023-09-16
12,12,card,34.91,Completed,2025-06-09
13,13,PayPal,6503.69,Pending,2025-12-02
14,14,card,46.27,Pending,2022-11-22
15,15,gift card,560.16,Completed,2023-10-12
16,16,card,41.08,Failed,2025-05-29
17,17,card,3075.39,Completed,2023-02-20
18,18,gift card,215.05,Completed,2022-01-05
19,19,PayPal,788.83,Completed,2023-09-10
20,20,card,3254.48,Pending,2023-10-08
21,21,gift card,167.38,Failed,2024-01-13
22,22,gift card,2801.26,Failed,2024-04-06
23,23,card,700.58,Failed,2022-09-26
24,24,card,333.6,Completed,2023-08-03
25,25,gift card,543.29,Pending,2024-12-06
26,26,gift card,1360.38,Failed,2025-02-28
27,27,card,41.68,Completed,2025-09-19
28,28,card,49.66,Completed,2023-09-26
29,29,card,37.54,Completed,2024-11-10
30,30,gift card,760.13,Failed,2022-08-22
31,31,PayPal,440.68,Failed,2022-09-06
32,32,card,700.27,Pending,2023-02-11
33,33,gift card,695.65,Failed,2025-04-23
34,34,gift card,3210.17,Pending,2022-12-30
35,35,gift card,797.62,Completed,2022-07-29
36,36,gift card,400.06,Pending,2022-06-09
37,37,card,519.62,Failed,2024-11-25
38,38,gift card,4203.64,Completed,2022-04-30
39,39,card,1849.16,Failed,2024-06-05
40,40,PayPal,451.91,Failed,2025-04-23
41,41,card,1991.81,Completed,2022-07-10
42,42,PayPal,1220.6,Pending,2024-08-01
43,43,card,798.9,Completed,2025-06-12
44,44,card,2183.37,Pending,2023-04-07
45,45,card,2281.59,Completed,2025-04-18
46,46,PayPal,64.3,Failed,2022-07-13
47,47,gift card,398.41,Failed,2024-10-29
48,48,card,1766.2,Failed,2024-08-07
49,49,gift card,1282.66,Failed,2025-08-29
50,50,card,992.73,Completed,2022-08-10
51,51,gift card,3050.63,Failed,2025-08-02
52,52,PayPal,1114.9,Failed,2022-01-17
53,53,PayPal,314.75,Completed,2024-05-28
54,54,gift card,925.55,Failed,2023-03-01
55,55,gift card,383.43,Pending,2023-10-25
56,56,PayPal,501.19,Completed,2024-07-16
57,57,card,59.69,Pending,2025-01-11
