review_id,customer_id,product_id,rating,review_text,review_date
1,143,1059,3,Not what I expected—too small. Returning it.,2025-11-11
2,7177,486,1,Average quality for the price. Does the job.,2025-07-24
3,7873,665,2,Overpriced and underdelivers. Avoid.,2024-07-05
4,3411,227,4,Love this! Perfect for everyday use.,2023-06-30
5,4476,812,3,Works as advertised. Satisfied customer.,2022-05-06
6,3742,1080,5,Super comfortable and stylish.,2024-12-16
7,1623,500,5,"Great product, highly recommend! Fast delivery too.",2025-01-06
8,2869,1071,3,Super comfortable and stylish.,2023-12-29
9,2025,1031,1,Super comfortable and stylish.,2022-12-18
10,2302,152,1,"Great product, highly recommend! Fast delivery too.",2024-08-24
11,2140,549,3,Overpriced and underdelivers. Avoid.,2025-02-26
12,2990,1219,1,"Great product, highly recommend! Fast delivery too.",2025-04-17
13,2891,587,1,Works as advertised. Satisfied customer.,2024-08-07
14,4133,1327,5,"Great product, highly recommend! Fast delivery too.",2024-02-08
15,1367,727,1,Overpriced and underdelivers. Avoid.,2023-09-13
16,78,211,3,"Poor packaging, but item is fine. 3 stars.",2024-11-10
17,7556,1371,5,Love this! Perfect for everyday use.,2022-10-04
18,5401,1473,5,Broke after one use. Disappointed.,2024-04-02
19,7886,24,1,Broke after one use. Disappointed.,2023-11-13
20,3479,625,5,Average quality for the price. Does the job.,2024-12-28
21,4944,1039,3,Love this! Perfect for everyday use.,2023-05-07
22,2970,334,5,Not what I expected—too small. Returning it.,2023-07-04
23,825,198,3,Excellent value! Will buy again.,2025-05-09
24,6269,1381,5,"Poor packaging, but item is fine. 3 stars.",2024-08-10
25,4066,875,5,Super comfortable and stylish.,2024-11-20
26,6645,387,1,Broke after one use. Disappointed.,2025-01-28
27,6412,37,1,Excellent value! Will buy again.,2025-03-28
28,7234,464,4,Works as advertised. Satisfied customer.,2023-04-22
29,7355,129,2,Average quality for the price. Does the job.,2024-08-07
30,4213,432,2,Love this! Perfect for everyday use.,2025-10-11
31,74,670,3,Average quality for the price. Does the job.,2023-01-03
32,2070,310,5,"Poor packaging, but item is fine. 3 stars.",2022-12-02
33,1110,1388,4,Works as advertised. Satisfied customer.,2023-11-14
34,371,963,3,Super comfortable and stylish.,2022-05-13
35,7944,376,2,"Poor packaging, but item is fine. 3 stars.",2025-08-21
36,2231,1381,3,Not what I expected—too small. Returning it.,2023-04-07
37,911,1352,4,"Poor packaging, but item is fine. 3 stars.",2024-03-22
38,6176,1135,5,Not what I expected—too small. Returning it.,2024-12-17
39,1386,1449,3,Average quality for the price. Does the job.,2025-03-07
40,1585,382,4,Love this! Perfect for everyday use.,2022-04-28
41,2320,1361,1,Average quality for the price. Does the job.,2023-06-18
42,1088,239,1,Overpriced and underdelivers. Avoid.,2023-04-19
43,547,275,1,Works as advertised. Satisfied customer.,2023-03-25
44,3797,199,2,"Poor packaging, but item is fine. 3 stars.",2024-06-04
45,2964,487,3,Broke after one use. Disappointed.,2023-09-02
46,5494,285,2,Super comfortable and stylish.,2023-08-04
47,4127,1211,5,Love this! Perfect for everyday use.,2022-12-15
48,1867,775,5,Super comfortable and stylish.,2024-06-03
49,6187,106,4,Love this! Perfect for everyday use.,2022-05-29
50,1766,212,3,Broke after one use. Disappointed.,2024-07-14
51,2339,529,1,"Poor packaging, but item is fine. 3 stars.",2024-09-28
52,5409,1372,1,Super comfortable and stylish.,2025-02-15
53,3824,1360,1,Super comfortable and stylish.,2023-08-12
