supplier_id,supplier_name,contact_name,phone,city,state
1,Global Suppliers Inc. #2,Robert,(328) 242-2679,Chicago,IL
2,Global Suppliers Inc. #2,Michael,(338) 617-1434,San Antonio,TX
3,Tech Distributors LLC #29,Christopher,(928) 990-1106,Columbus,OH
4,Tech Distributors LLC #14,James,(194) 489-2584,Jacksonville,FL
5,Global Suppliers Inc. #47,Charles,(227) 487-2291,San Jose,CA
6,Home Essentials Ltd. #13,Michael,(777) 333-5741,San Diego,CA
7,Fresh Foods Co. #30,Mary,(479) 463-4432,Chicago,IL
8,Home Essentials Ltd. #47,Lisa,(573) 488-5422,San Diego,CA
9,Global Suppliers Inc. #15,Jane,(510) 374-2084,Denver,CO
10,Apparel Wholesalers #26,Charles,(371) 242-5040,Seattle,WA
11,Home Essentials Ltd. #26,Mary,(241) 621-9085,Los Angeles,CA
12,Tech Distributors LLC #44,Patricia,(165) 494-7252,Charlotte,NC
13,Home Essentials Ltd. #1,Emily,(868) 373-6573,San Jose,CA
14,Apparel Wholesalers #1,Robert,(880) 282-9317,San Jose,CA
15,Tech Distributors LLC #24,Sarah,(897) 643-1009,Austin,TX
16,Global Suppliers Inc. #24,Anna,(159) 346-2290,San Francisco,CA
17,Tech Distributors LLC #43,Jennifer,(269) 371-9645,San Antonio,TX
18,Fresh Foods Co. #26,Mary,(629) 562-2982,San Diego,CA
19,Global Suppliers Inc. #38,Linda,(702) 325-1117,Los Angeles,CA
20,Global Suppliers Inc. #22,Michael,(343) 385-8953,Seattle,WA
21,Tech Distributors LLC #31,Patricia,(196) 199-8062,Columbus,OH
22,Global Suppliers Inc. #44,Emily,(512) 845-6559,San Diego,CA
23,Home Essentials Ltd. #29,David,(287) 385-8579,Chicago,IL
24,Global Suppliers Inc. #42,Linda,(195) 871-4872,Columbus,OH
25,Tech Distributors LLC #26,Jane,(488) 102-7396,Charlotte,NC
26,Home Essentials Ltd. #43,Jennifer,(294) 403-4566,Denver,CO
27,Fresh Foods Co. #4,Jane,(588) 614-9701,Los Angeles,CA
28,Tech Distributors LLC #5,Elizabeth,(791) 982-4853,Houston,TX
29,Home Essentials Ltd. #39,Jane,(183) 529-9565,Dallas,TX
30,Tech Distributors LLC #17,William,(787) 760-5915,Austin,TX
31,Apparel Wholesalers #40,Christopher,(175) 650-4492,Dallas,TX
32,Global Suppliers Inc. #16,Mary,(261) 548-9900,Washington,DC
33,Home Essentials Ltd. #20,Emily,(370) 218-2753,Phoenix,AZ
34,Home Essentials Ltd. #14,James,(803) 749-5325,San Francisco,CA
35,Global Suppliers Inc. #41,Patricia,(145) 103-6464,Dallas,TX
36,Home Essentials Ltd. #46,Patricia,(109) 214-2232,Seattle,WA
37,Home Essentials Ltd. #36,David,(230) 142-6050,Los Angeles,CA
38,Tech Distributors LLC #43,Emily,(898) 673-7658,San Diego,CA
39,Apparel Wholesalers #2,Sarah,(901) 521-5065,Philadelphia,PA
40,Global Suppliers Inc. #31,Lisa,(936) 571-6728,San Diego,CA
41,Tech Distributors LLC #26,James,(985) 171-5573,Indianapolis,IN
42,Global Suppliers Inc. #8,Robert,(694) 371-1626,Washington,DC
43,Fresh Foods Co. #28,Elizabeth,(218) 494-4114,Los Angeles,CA
44,Home Essentials Ltd. #35,Chris,(541) 171-6409,Houston,TX
45,Apparel Wholesalers #21,William,(667) 230-4143,Fort Worth,TX
46,Home Essentials Ltd. #37,Anna,(661) 953-1006,San Jose,CA
47,Home Essentials Ltd. #39,James,(552) 552-4501,San Francisco,CA
48,Fresh Foods Co. #33,Elizabeth,(195) 938-4848,San Diego,CA
49,Global Suppliers Inc. #3,Lisa,(725) 970-2193,Columbus,OH
50,Apparel Wholesalers #32,William,(251) 771-1090,Columbus,OH
51,Home Essentials Ltd. #30,Jane,(355) 968-2988,Phoenix,AZ
52,Apparel Wholesalers #40,Thomas,(950) 661-8305,San Francisco,CA
53,Tech Distributors LLC #41,Robert,(596) 741-4919,Charlotte,NC
54,Tech Distributors LLC #18,James,(653) 182-3267,San Diego,CA
55,Tech Distributors LLC #5,Patricia,(438) 655-8633,Los Angeles,CA
56,Apparel Wholesalers #50,Christopher,(977) 883-7232,New York,NY
57,Apparel Wholesalers #27,Linda,(919) 717-4613,San Diego,CA
58,Apparel Wholesalers #2,William,(784) 795-7624,Charlotte,NC
59,Apparel Wholesalers #38,Christopher,(185) 758-8022,Charlotte,NC
60,Fresh Foods Co. #25,James,(565) 434-6529,Dallas,TX
61,Global Suppliers Inc. #31,John,(153) 458-4673,Los Angeles,CA
62,Tech Distributors LLC #2,Elizabeth,(344) 229-8758,Denver,CO
63,Fresh Foods Co. #50,Mary,(720) 721-2876,San Jose,CA
64,Fresh Foods Co. #37,William,(832) 303-2245,San Diego,CA
65,Home Essentials Ltd. #8,Christopher,(455) 645-8018,Chicago,IL
66,Global Suppliers Inc. #27,Jennifer,(543) 470-8532,Columbus,OH
67,Home Essentials Ltd. #35,Jennifer,(546) 945-5397,San Diego,CA
68,Apparel Wholesalers #16,Charles,(724) 784-7209,New York,NY
69,Tech Distributors LLC #32,Chris,(916) 364-6576,Washington,DC
70,Home Essentials Ltd. #13,Michael,(837) 516-9004,San Diego,CA
